fold,threshold,accuracy,precision,recall,f1
1,0.35,0.8079044117647058,0.652971386647102,0.8524904214559387,0.7395097631906938
1,0.4,0.8192401960784313,0.6860655737704918,0.8017241379310345,0.7393992932862191
1,0.45,0.8268995098039216,0.7227906976744186,0.7442528735632183,0.733364794714488
2,0.35,0.8143382352941176,0.6600306278713629,0.841796875,0.7399141630901288
2,0.4,0.8235294117647058,0.6882352941176471,0.7998046875,0.7398373983739838
2,0.45,0.8268995098039216,0.7171239356669821,0.740234375,0.7284959154252764
3,0.35,0.8005514705882353,0.6424792139077853,0.8268482490272373,0.7230965546575925
3,0.4,0.8100490196078431,0.6717171717171717,0.7762645914396887,0.720216606498195
3,0.45,0.8219975490196079,0.7130600571973308,0.7276264591439688,0.7202696196437169
